time,ctrlCorrection0,ctrlCorrection1,ctrlCorrection2,ctrlCorrection3,ctrlDisturbance0,ctrlDisturbance1,ctrlDisturbance2,ctrlDisturbance3,ctrlGround0,ctrlGround1,ctrlGround2,ctrlGround3,ctrlOutput0,ctrlOutput1,ctrlOutput2,ctrlOutput3,ctrlOutput4,ctrlOutput5,ctrlOutputKalman0,ctrlOutputKalman1,ctrlOutputKalman2,ctrlOutputKalman3,ctrlOutputKalman4,ctrlOutputKalman5,ctrlOutputLuenburger0,ctrlOutputLuenburger1,ctrlOutputLuenburger2,ctrlOutputLuenburger3,ctrlOutputLuenburger4,ctrlOutputLuenburger5,ctrlOutputOffset0,ctrlOutputOffset1,ctrlOutputOffset2,ctrlOutputOffset3,ctrlOutputOffset4,ctrlOutputOffset5,ctrlOutputRaw0,ctrlOutputRaw1,ctrlOutputRaw2,ctrlOutputRaw3,ctrlOutputRaw4,ctrlOutputRaw5,ctrlReference0,ctrlReference1,ctrlReference2,ctrlReference3,ctrlReference4,ctrlReference5,ctrlStateIntegral0,ctrlStateIntegral1,ctrlStateIntegral2,ctrlStateIntegral3,ctrlStateIntegral4,ctrlStateIntegral5,ctrlStateKalman0,ctrlStateKalman1,ctrlStateKalman2,ctrlStateKalman3,ctrlStateKalman4,ctrlStateKalman5,ctrlStateKalman6,ctrlStateKalman7,ctrlStateKalman8,ctrlStateKalman9,ctrlStateKalman10,ctrlStateKalman11,ctrlStateKalman12,ctrlStateKalman13,ctrlStateKalman14,ctrlStateKalman15,ctrlStateKalman16,ctrlStateKalman17,ctrlStateKalman18,ctrlStateKalman19,ctrlStateKalman20,ctrlStateLuenburger0,ctrlStateLuenburger1,ctrlStateLuenburger2,ctrlStateLuenburger3,ctrlStateLuenburger4,ctrlStateLuenburger5,ctrlStateLuenburger6,ctrlStateLuenburger7,ctrlStateLuenburger8,ctrlStateLuenburger9,ctrlStateLuenburger10,ctrlStateLuenburger11,ctrlStateLuenburger12,ctrlStateLuenburger13,ctrlStateLuenburger14,ctrlStateLuenburger15,ctrlStateLuenburger16,ctrlStateLuenburger17,ctrlStateLuenburger18,ctrlStateLuenburger19,ctrlStateLuenburger20,ctrlcommand0,ctrlcommand1,ctrlcommand2,ctrlcommand3,inletRead0,inletRead1,inletRead2,inletRead3,inletTime0,inletTime1,inletTime2,inletTime3,inletWrite0,inletWrite1,inletWrite2,inletWrite3,
0.001,-0.884448,-4.5289,12.5894,-7.17608,-0.07608,-0.0391286,-0.0891306,0.204339,230,230,180,200,345.387,-3.2894,-378.281,0,0,0,345.569,-3.48406,-377.869,0,0,0,346.028,-4.61367,-378.546,0,0,0,-2286.13,-1884.83,509.857,0,0,0,-1940.75,-1888.12,131.576,0,0,0,345.387,0,-378.281,0,0,0,-223.35,1.6447,287.494,0,0,0,345.399,-3.30094,-378.251,0,0,0,0.645175,0.124523,3.07751,0.0478759,2.11846,-5.84115,2.76364,0.645175,0.126009,3.07751,0.0549665,2.11846,0.289034,-5.84115,-0.405724,345.968,-4.90741,-377.926,0,0,0,-0.44436,0.0557193,2.01963,0.0148681,1.91732,-3.49259,1.47296,-0.44436,0.0546955,2.01963,0.0195214,1.91732,0.204611,-3.49259,-0.256353,0.0877645,0.095343,0.105701,-0.310081,228.487,225.332,193.141,192.51,977.7,977.7,977.725,977.725,229.203,225.566,192.695,192.514,
0.098,-0.885983,-4.52955,12.5878,-7.17224,-0.0767217,-0.0329328,-0.0822061,0.191861,230,230,180,200,345.387,-3.2894,-378.281,0,0,0,345.464,-2.99319,-378.039,0,0,0,345.968,-4.90741,-377.926,0,0,0,-2286.13,-1884.83,509.857,0,0,0,-1940.75,-1888.12,131.576,0,0,0,345.387,0,-378.281,0,0,0,-223.35,1.31576,287.494,0,0,0,345.395,-3.2692,-378.263,0,0,0,1.48864,0.154544,4.17804,0.104102,0.33013,-5.99681,1.81877,1.48864,0.157974,4.17804,0.113728,0.33013,0.180181,-5.99681,-0.361586,345.847,-4.5034,-377.784,0,0,0,0.201571,0.0864183,3.42331,0.0755361,0.190806,-3.81569,0.392377,0.201571,0.0868827,3.42331,0.0834234,0.190806,0.101236,-3.81569,-0.220775,0.0879392,0.0856662,0.0943736,-0.288096,229.119,224.7,193.141,192.51,977.8,977.8,977.825,977.825,229.202,225.556,192.682,192.54,
0.198,-0.887463,-4.52998,12.5861,-7.16869,-0.074007,-0.0211726,-0.0826699,0.17785,230,230,180,200,345.387,-3.2894,-378.281,0,0,0,345.544,-2.8514,-378.23,0,0,0,345.847,-4.5034,-377.784,0,0,0,-2286.13,-1884.83,509.857,0,0,0,-1940.75,-1888.12,131.576,0,0,0,345.387,0,-378.281,0,0,0,-223.35,0.986821,287.494,0,0,0,345.401,-3.25942,-378.277,0,0,0,1.9288,0.149064,3.27457,0.0878925,0.276855,-5.48023,2.20566,1.9288,0.153508,3.27457,0.0954371,0.276855,0.170564,-5.48023,-0.33768,345.81,-4.00767,-377.83,0,0,0,0.484756,0.0847016,2.94908,0.0686031,0.095704,-3.52954,0.58046,0.484756,0.0858185,2.94908,0.0753978,0.095704,0.0921336,-3.52954,-0.205487,0.0812909,0.0827377,0.104616,-0.287687,229.119,225.332,191.879,191.879,977.9,977.9,977.925,977.925,229.194,225.553,192.691,192.544,
0.3,-0.890917,-4.52976,12.5847,-7.16403,-0.172709,0.0107714,-0.070763,0.232701,230,230,180,200,348.677,-3.2894,-378.281,0,0,0,345.593,-2.93196,-378.249,0,0,0,345.81,-4.00767,-377.83,0,0,0,-2286.13,-1884.83,509.857,0,0,0,-1937.46,-1888.12,131.576,0,0,0,345.387,0,-378.281,0,0,0,-223.021,0.65788,287.494,0,0,0,348.474,-3.28496,-378.286,0,0,0,5.70211,0.215917,0.530019,0.0688997,-0.401122,-5.83101,5.30099,5.70211,0.229055,0.530019,0.0701209,-0.401122,0.184768,-5.83101,-0.383913,346.205,-3.63965,-377.91,0,0,0,0.260169,0.0795533,2.98622,0.0654597,0.248,-3.49439,0.50817,0.260169,0.0801528,2.98622,0.07234,0.248,0.098812,-3.49439,-0.205901,-0.107815,0.0711835,0.107114,-0.0672281,229.119,224.7,191.879,192.51,978,978,978.025,978.025,229.001,225.541,192.692,192.769,
0.395,-0.894138,-4.52955,12.5832,-7.15954,-0.161061,0.0103978,-0.0739565,0.22462,230,230,180,200,348.677,-3.2894,-378.281,0,0,0,349.044,-3.23196,-378.326,0,0,0,346.205,-3.63965,-377.91,0,0,0,-2286.13,-1884.83,509.857,0,0,0,-1937.46,-1888.12,131.576,0,0,0,345.387,0,-378.281,0,0,0,-222.693,0.32894,287.494,0,0,0,348.701,-3.28333,-378.284,0,0,0,-0.723482,0.0580784,2.83356,0.0443909,1.21701,-3.32709,0.493527,-0.723482,0.0564115,2.83356,0.0509195,1.21701,0.152586,-3.32709,-0.213978,346.532,-3.31072,-377.959,0,0,0,-5.75393,-0.0693859,5.08587,0.0417571,1.74647,-1.07841,-4.00746,-5.75393,-0.082643,5.08587,0.053475,1.74647,0.0662379,-1.07841,-0.0419879,-0.176661,0.0667638,0.0641433,0.0572021,229.119,225.332,191.879,192.51,978.1,978.1,978.125,978.125,228.929,225.537,192.647,192.898,
0.488,-0.897158,-4.53119,12.5821,-7.15371,-0.150975,-0.0816708,-0.0587216,0.291368,230,230,180,200,348.677,0,-378.281,0,0,0,348.629,-2.99998,-378.162,0,0,0,346.532,-3.31072,-377.959,0,0,0,-2286.13,-1884.83,509.857,0,0,0,-1937.46,-1884.83,131.576,0,0,0,345.387,0,-378.281,0,0,0,-222.364,0.32894,287.494,0,0,0,348.655,-0.198734,-378.274,0,0,0,-4.80547,0.00640825,7.03613,0.107724,1.15234,-3.383,-3.65313,-4.80547,-0.00466355,7.03613,0.123935,1.15234,0.0958943,-3.383,-0.154986,346.199,-2.41154,-377.869,0,0,0,-7.65287,-0.12555,5.55257,0.0346372,1.87702,0.22328,-5.77585,-7.65287,-0.143182,5.55257,0.0474303,1.87702,0.0202116,0.22328,0.0519762,-0.235214,-0.0967381,0.0311797,0.338362,228.487,225.963,191.879,192.51,978.2,978.2,978.225,978.225,228.868,225.372,192.613,193.185,
0.592,-0.898484,-4.53292,12.5807,-7.1493,-0.066324,-0.0867839,-0.067325,0.220433,230,230,180,200,345.387,0,-378.281,0,0,0,348.175,0.504879,-378.159,0,0,0,346.199,-2.41154,-377.869,0,0,0,-2286.13,-1884.83,509.857,0,0,0,-1940.75,-1884.83,131.576,0,0,0,345.387,0,-378.281,0,0,0,-222.364,0.32894,287.494,0,0,0,345.576,0.0508466,-378.265,0,0,0,-6.02954,-0.128621,2.38044,-0.0237272,2.24741,1.40169,-3.78213,-6.02954,-0.142513,2.38044,-0.0182427,2.24741,0.045904,1.40169,0.0851223,345.325,-1.55631,-377.741,0,0,0,-5.93086,-0.195604,-0.584996,-0.0933534,2.24403,4.27183,-3.68683,-5.93086,-0.209269,-0.584996,-0.0947012,2.24403,-0.0213418,4.27183,0.23838,-0.0918603,-0.120399,-0.0153563,0.252246,228.487,224.7,193.141,192.51,978.3,978.3,978.325,978.325,229.01,225.347,192.565,193.103,
0.701,-0.900131,-4.53447,12.5795,-7.14494,-0.0823449,-0.0773959,-0.0585063,0.218247,230,230,180,200,345.387,0,-378.281,0,0,0,344.973,0.288891,-378.041,0,0,0,345.325,-1.55631,-377.741,0,0,0,-2286.13,-1884.83,509.857,0,0,0,-1940.75,-1884.83,131.576,0,0,0,345.387,0,-378.281,0,0,0,-222.364,0.32894,287.494,0,0,0,345.362,0.0166572,-378.265,0,0,0,0.285489,-0.0114222,-1.50146,-0.0343161,0.539993,0.675975,0.825481,0.285489,-0.0107644,-1.50146,-0.0377754,0.539993,0.0305115,0.675975,0.0181774,344.736,-1.42276,-377.595,0,0,0,-0.398717,-0.0891974,-3.80162,-0.0984035,0.730659,3.46968,0.331942,-0.398717,-0.0901161,-3.80162,-0.107162,0.730659,-0.0324573,3.46968,0.171038,-0.05389,-0.0886754,-0.0170056,0.176195,229.119,225.963,191.879,192.51,978.4,978.4,978.425,978.425,229.046,225.377,192.563,193.031,
0.807,-0.901283,-4.53549,12.5762,-7.1394,-0.0576055,-0.0511044,-0.168366,0.277076,230,230,180,200,345.387,0,-374.992,0,0,0,345.391,-0.133488,-378.211,0,0,0,344.736,-1.42276,-377.595,0,0,0,-2286.13,-1884.83,509.857,0,0,0,-1940.75,-1884.83,134.866,0,0,0,345.387,0,-378.281,0,0,0,-222.364,0.32894,287.823,0,0,0,345.379,-0.0104592,-375.227,0,0,0,-0.0902649,0.00431836,-0.69829,-0.0335307,1.45498,-0.666428,1.36472,-0.0902649,0.00411039,-0.69829,-0.0351396,1.45498,0.117306,-0.666428,-0.0852828,344.74,-1.65312,-377.218,0,0,0,0.197786,-0.055211,-3.02362,-0.071181,0.378043,2.44779,0.575829,0.197786,-0.0547553,-3.02362,-0.0781474,0.378043,-0.0258537,2.44779,0.118905,-0.0342564,0.0219556,-0.378774,0.39266,228.487,225.332,193.773,192.51,978.5,978.5,978.525,978.525,229.064,225.486,192.197,193.253,
0.898,-0.902426,-4.53655,12.5728,-7.13378,-0.0571439,-0.0525791,-0.171085,0.280808,230,230,180,200,345.387,0,-374.992,0,0,0,345.37,-0.0802882,-375.082,0,0,0,344.74,-1.65312,-377.218,0,0,0,-2286.13,-1884.83,509.857,0,0,0,-1940.75,-1884.83,134.866,0,0,0,345.387,0,-378.281,0,0,0,-222.364,0.32894,288.152,0,0,0,345.385,-0.00546634,-374.999,0,0,0,0.525071,0.0193807,1.27929,0.0671329,-2.24686,0.442498,-1.72179,0.525071,0.0205905,1.27929,0.0700804,-2.24686,-0.155102,0.442498,0.101495,344.805,-1.77504,-376.925,0,0,0,0.877272,-0.0401154,-1.12969,0.0284919,-3.35103,3.60345,-2.47376,0.877272,-0.0380942,-1.12969,0.0258891,-3.35103,-0.300343,3.60345,0.308321,-0.0484963,0.0543814,-0.560045,0.553634,228.487,225.332,193.141,192.51,978.6,978.6,978.625,978.625,229.049,225.518,192.013,193.42,
